terrain_type,band,polarization,thetamin,thetamax,p1,p2,p3,p4,p5,p6,m1,m2,m3
c3a1,X,hv,20.0,70.0,-99.0,48.321,-0.456,30.0,1.455,-0.128,2.746,0.0,0.0
c3a1,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,S,hh,0.0,80.0,-24.707,24.934,1.36,-0.971,-4.961,-3.142,1.876,2.512,1.76
c3a1,S,vv,0.0,80.0,-19.164,18.515,1.704,-1.631,6.063,-3.142,2.614,1.974,5.337
c3a1,S,hv,0.0,80.0,-99.0,65.29,-0.133,22.117,-0.853,-0.729,12.574,-9.0,-0.143
a4,C,hh,5.0,30.0,-93.171,99.0,0.245,-5.106,0.0,0.0,5.72,0.0,0.0
a4,C,vv,5.0,30.0,-71.269,99.0,0.196,-30.0,0.0,0.0,6.609,-4.737,15.0
a4,C,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,L,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,L,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,L,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,Ku,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,Ku,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,Ku,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,X,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,X,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,X,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,S,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,S,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a4,S,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
g,C,hh,0.0,70.0,-31.91,17.749,11.854,30.0,0.421,0.74,-9.0,13.0,-0.031
g,C,vv,0.0,70.0,4.288,15.642,15.0,30.0,0.535,1.994,4.206,0.015,-2.804
g,C,hv,0.0,70.0,-24.622,15.102,15.0,-3.401,2.431,3.142,13.553,-9.0,-0.036
g,L,hh,0.0,70.0,-73.069,95.221,1.548,30.0,1.795,-2.126,-9.0,14.416,0.109
g,L,vv,0.0,70.0,-75.156,99.0,1.446,30.0,1.793,-2.179,5.23,-0.283,-1.557
g,L,hv,0.0,70.0,-90.98,99.0,1.129,30.0,1.827,-2.308,4.879,0.349,15.0
g,Ku,hh,0.0,75.0,9.715,11.701,15.0,30.0,0.526,2.038,-9.0,13.066,-0.042
g,Ku,vv,0.0,70.0,-9.08,13.312,15.0,-4.206,2.403,3.142,-9.0,14.014,0.043
g,Ku,hv,0.0,75.0,-79.693,99.0,0.981,30.0,-1.458,2.173,5.631,-1.058,1.844
g,X,hh,0.0,70.0,10.02,7.909,15.0,30.0,0.828,2.073,3.506,0.47,15.0
g,X,vv,0.0,70.0,10.952,6.473,15.0,30.0,0.777,2.081,4.159,0.15,1.291
g,X,hv,0.0,75.0,4.495,10.451,15.0,-30.0,-0.746,1.083,11.605,-9.0,0.104
g,Ka,hh,0.0,70.0,43.63,-13.027,-0.86,29.13,1.094,2.802,-8.198,15.0,-0.082
g,Ka,vv,0.0,70.0,-33.899,7.851,15.0,30.0,0.78,-0.374,5.488,1.413,0.552
g,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
g,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
g,W,vv,40.0,75.0,-22.126,99.0,2.466,0.0,0.0,0.0,4.134,15.0,3.991
g,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
g,S,hh,0.0,70.0,-45.772,25.16,5.942,30.0,0.929,-0.284,12.944,-9.0,-0.079
g,S,vv,0.0,70.0,-39.328,18.594,8.046,30.0,0.666,0.269,1.157,2.904,0.605
g,S,hv,0.0,70.0,-42.94,9.935,15.0,30.0,0.438,0.712,3.276,1.027,8.958
a2,C,hh,0.0,40.0,-99.0,93.404,-0.006,-4.964,-5.0,3.142,0.475,4.432,0.95
a2,C,vv,0.0,40.0,-68.508,99.0,0.18,-30.0,0.0,0.0,-1.606,6.525,0.59
a2,C,hv,0.0,40.0,-99.0,55.517,0.172,30.0,0.0,0.0,4.133,-0.095,15.0
a2,L,hh,0.0,30.0,-64.93,99.0,0.413,30.0,0.518,-3.142,3.338,0.381,15.0
a2,L,vv,0.0,30.0,-96.881,99.0,0.284,-2.297,7.671,-3.142,-9.0,12.462,0.056
a2,L,hv,0.0,30.0,-30.266,20.051,1.68,-6.632,0.0,0.0,2.948,-0.351,5.898
a2,Ku,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,Ku,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,Ku,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,X,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,X,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,X,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a2,S,hh,0.0,40.0,-68.092,99.0,0.255,30.0,0.395,-3.142,2.467,2.893,2.929
a2,S,vv,0.0,40.0,-99.0,93.91,0.037,-4.837,5.388,-3.142,13.969,-9.0,-0.364
a2,S,hv,0.0,40.0,-24.821,6.937,1.674,-1.267,8.152,-3.142,3.559,0.002,-9.0
a3,C,hh,0.0,40.0,-25.0,15.983,3.652,11.903,0.0,0.0,3.411,7.395,15.0
a3,C,vv,0.0,40.0,-27.259,16.752,3.73,14.103,0.0,0.0,2.857,7.917,9.838
a3,C,hv,0.0,40.0,-26.926,10.227,5.646,5.581,0.0,0.0,3.957,4.563,11.986
a3,L,hh,0.0,30.0,-57.445,99.0,1.367,30.0,-2.186,-3.142,3.799,3.438,15.0
a3,L,vv,0.0,30.0,-92.28,99.0,0.742,-4.067,12.265,3.142,3.861,3.167,15.0
a3,L,hv,0.0,30.0,-30.2,27.244,4.044,-9.085,0.0,0.0,3.758,2.301,15.0
a3,Ku,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,Ku,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,Ku,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,X,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,X,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,X,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a3,S,hh,0.0,40.0,-69.288,99.0,0.99,23.282,2.728,-3.142,3.852,5.865,10.88
a3,S,vv,0.0,40.0,-69.77,79.257,0.552,-10.121,4.516,-1.206,15.0,-7.941,-0.642
a3,S,hv,0.0,40.0,-36.981,49.399,0.611,-30.0,2.284,-0.589,5.177,0.858,15.0
c3,C,hh,0.0,80.0,-91.95,99.0,0.27,6.98,1.922,-3.142,1.723,3.376,1.975
c3,C,vv,0.0,80.0,-91.133,99.0,0.294,8.107,2.112,-3.142,1.684,3.422,2.376
c3,C,hv,0.0,80.0,-99.0,91.003,0.156,3.948,2.239,-3.142,13.237,-9.0,-0.178
c3,L,hh,0.0,80.0,-26.688,29.454,1.814,0.873,4.135,-3.142,-9.0,14.931,0.092
c3,L,vv,0.0,80.0,-81.371,99.0,0.567,16.2,-1.948,3.142,-9.0,13.808,0.053
c3,L,hv,0.0,80.0,-99.0,99.0,0.086,-21.298,0.0,0.0,4.747,-0.044,-2.826
c3,Ku,hh,0.0,80.0,-99.0,98.254,0.098,-0.71,5.0,-2.225,1.941,4.096,2.93
c3,Ku,vv,0.0,80.0,-99.0,98.741,0.103,-0.579,5.0,-2.21,2.192,3.646,3.32
c3,Ku,hv,40.0,70.0,-30.403,0.0,0.0,19.378,1.0,-0.59,-9.0,11.516,0.02
c3,X,hh,0.0,80.0,-99.0,97.28,0.107,-0.538,5.0,-2.688,2.038,4.238,2.997
c3,X,vv,0.0,80.0,-99.0,97.682,0.113,-0.779,5.0,-2.076,2.081,4.025,2.997
c3,X,hv,20.0,70.0,-28.057,0.0,0.0,13.575,1.0,-0.573,3.301,-0.001,-4.934
c3,Ka,hh,20.0,70.0,-41.17,27.831,0.076,-8.728,0.869,3.142,2.171,4.391,4.618
c3,Ka,vv,20.0,70.0,-43.899,41.594,0.215,-0.794,5.0,-1.372,2.117,2.88,4.388
c3,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3,S,hh,0.0,80.0,-21.202,21.177,2.058,-0.132,-5.0,-3.142,1.713,3.205,1.729
c3,S,vv,0.0,80.0,-20.566,20.079,1.776,-1.332,5.0,-1.983,2.475,2.308,3.858
c3,S,hv,0.0,80.0,-89.222,44.939,0.253,30.0,-0.355,0.526,12.735,-9.0,-0.159
c,C,hh,0.0,80.0,-87.727,99.0,0.322,10.188,-1.747,3.142,2.586,2.946,2.74
c,C,vv,0.0,80.0,-88.593,99.0,0.326,9.574,1.969,-3.142,2.287,3.33,2.674
c,C,hv,0.0,80.0,-99.0,93.293,0.181,5.359,1.948,-3.142,13.717,-9.0,-0.169
c,L,hh,0.0,80.0,-27.265,32.39,2.133,1.438,-3.847,3.142,1.593,4.246,0.063
c,L,vv,0.0,80.0,-24.614,27.398,2.265,-1.08,5.0,-1.999,4.918,0.819,15.0
c,L,hv,0.0,80.0,-41.6,22.872,0.689,-1.238,0.0,0.0,0.59,4.864,0.098
c,Ku,hh,0.0,80.0,-99.0,97.863,0.105,-0.893,5.0,-2.657,2.538,2.691,2.364
c,Ku,vv,0.0,80.0,-99.0,97.788,0.105,-1.017,5.0,-3.142,1.628,3.117,0.566
c,Ku,hv,0.0,70.0,-14.234,3.468,10.0,-1.552,5.0,-0.562,-9.0,13.349,0.09
c,X,hh,0.0,80.0,-99.0,97.417,0.114,-0.837,5.0,-2.984,2.49,3.514,3.217
c,X,vv,0.0,80.0,-99.0,97.37,0.119,-1.171,5.0,-2.728,2.946,2.834,2.953
c,X,hv,10.0,70.0,-16.716,10.247,10.0,-1.045,5.0,-0.159,-9.0,13.278,0.066
c,Ka,hh,10.0,80.0,-99.0,79.05,0.263,-30.0,0.73,2.059,2.8,3.139,15.0
c,Ka,vv,10.0,80.0,-99.0,80.325,0.282,-30.0,0.833,1.97,2.686,-0.002,-2.853
c,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,S,hh,0.0,80.0,-20.779,21.867,2.434,0.347,-0.013,-0.393,2.527,3.273,3.001
c,S,vv,0.0,80.0,-20.367,21.499,2.151,-1.069,5.0,-1.95,2.963,2.881,4.74
c,S,hv,0.0,80.0,-99.0,85.852,0.179,3.687,2.121,-3.142,13.195,-9.0,-0.148
c3a,C,hh,0.0,80.0,-90.876,99.0,0.276,7.158,1.813,-3.142,1.956,2.861,2.301
c3a,C,vv,0.0,80.0,-90.091,99.0,0.298,8.302,2.024,-3.142,1.435,3.416,1.766
c3a,C,hv,0.0,80.0,-99.0,90.711,0.149,3.229,2.115,-3.142,13.293,-9.0,-0.193
c3a,L,hh,0.0,80.0,-29.397,32.056,1.348,0.81,4.872,-3.142,-9.0,14.591,0.11
c3a,L,vv,0.0,80.0,-82.717,99.0,0.485,14.951,-1.811,3.142,0.504,3.89,0.559
c3a,L,hv,0.0,80.0,-99.0,99.0,0.086,-19.586,0.0,0.0,4.371,-0.126,-2.07
c3a,Ku,hh,0.0,80.0,-98.657,99.0,0.104,-0.96,5.759,-3.142,1.824,4.288,2.387
c3a,Ku,vv,0.0,80.0,-98.127,99.0,0.111,-0.802,5.774,-3.142,2.162,3.7,2.994
c3a,Ku,hv,40.0,70.0,-40.82,0.0,0.0,30.0,0.857,-0.557,-9.0,11.794,0.04
c3a,X,hh,0.0,80.0,-99.0,98.553,0.117,-0.992,5.309,-3.142,1.669,4.696,2.308
c3a,X,vv,0.0,80.0,-99.0,98.634,0.12,-0.981,6.049,-3.142,1.788,4.529,2.533
c3a,X,hv,20.0,70.0,-99.0,52.764,-0.386,25.044,1.551,-0.224,2.696,0.0,0.0
c3a,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,S,hh,0.0,80.0,-23.453,22.959,1.51,-0.87,-4.886,-3.142,1.553,2.995,1.391
c3a,S,vv,0.0,80.0,-18.801,17.754,1.817,-1.412,6.679,-3.142,2.522,2.067,4.399
c3a,S,hv,0.0,80.0,-99.0,60.067,-0.114,30.0,0.546,0.792,0.535,3.31,0.748
a1,C,hh,0.0,40.0,-64.477,99.0,0.354,-30.0,0.0,0.0,-9.0,13.362,-0.094
a1,C,vv,0.0,40.0,-30.458,65.739,0.553,-30.0,0.0,0.0,4.364,1.311,15.0
a1,C,hv,0.0,40.0,-78.372,99.0,0.314,-30.0,0.0,0.0,7.498,-2.787,2.654
a1,L,hh,0.0,30.0,-11.831,0.417,-6.332,8.696,-5.0,0.18,-9.0,10.932,-0.349
a1,L,vv,0.0,30.0,-35.246,3.122,-4.532,-30.0,3.284,-3.132,-9.0,11.248,-0.335
a1,L,hv,0.0,30.0,-88.448,99.0,0.082,-30.0,0.0,0.0,3.561,-0.686,15.0
a1,Ku,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hh,0.0,40.0,-88.531,99.0,1.387,30.0,2.967,-1.84,4.471,0.466,15.0
a1,S,vv,0.0,40.0,-89.178,99.0,1.281,-30.0,2.709,1.323,12.958,-9.0,0.184
a1,S,hv,0.0,40.0,-99.0,99.0,1.426,-30.0,3.012,1.127,3.938,1.292,15.0